Year,Period,Area,Area Number,Area Type,Adjustment,Employment,Civilian Labor Force,Unemployment,Unemployment Rate
2024,Annual,Castro                                               ,000069,County,Not Adjusted,"3,450","3,548",98,2.8
2024,Annual,Cass                                                 ,000067,County,Not Adjusted,"10,526","11,108",582,5.2
2024,Annual,Chambers                                             ,000071,County,Not Adjusted,"25,551","26,794","1,243",4.6
2024,Annual,Cherokee                                             ,000073,County,Not Adjusted,"20,636","21,582",946,4.4
2024,Annual,Childress                                            ,000075,County,Not Adjusted,"3,093","3,182",89,2.8
2024,Annual,Coleman                                              ,000083,County,Not Adjusted,"3,477","3,611",134,3.7
2024,Annual,Clay                                                 ,000077,County,Not Adjusted,"4,782","4,964",182,3.7
2024,Annual,Cochran                                              ,000079,County,Not Adjusted,"1,026","1,070",44,4.1
2024,Annual,Coke                                                 ,000081,County,Not Adjusted,"1,853","1,908",55,2.9
2024,Annual,Collin                                               ,000085,County,Not Adjusted,"654,384","680,301","25,917",3.8
2024,Annual,Collingsworth                                        ,000087,County,Not Adjusted,"1,241","1,281",40,3.1
2024,Annual,Colorado                                             ,000089,County,Not Adjusted,"9,186","9,546",360,3.8
2024,Annual,Comal                                                ,000091,County,Not Adjusted,"93,893","97,410","3,517",3.6
2024,Annual,Comanche                                             ,000093,County,Not Adjusted,"7,154","7,374",220,3
2024,Annual,Concho                                               ,000095,County,Not Adjusted,"1,120","1,158",38,3.3
2024,Annual,Cooke                                                ,000097,County,Not Adjusted,"21,510","22,307",797,3.6
2024,Annual,Coryell                                              ,000099,County,Not Adjusted,"25,555","26,757","1,202",4.5
2024,Annual,Cottle                                               ,000101,County,Not Adjusted,"1,097","1,122",25,2.2
2024,Annual,Crane                                                ,000103,County,Not Adjusted,"2,682","2,754",72,2.6
2024,Annual,Crockett                                             ,000105,County,Not Adjusted,"1,249","1,291",42,3.3
2024,Annual,Crosby                                               ,000107,County,Not Adjusted,"2,189","2,281",92,4
2024,Annual,Culberson                                            ,000109,County,Not Adjusted,"1,039","1,075",36,3.3
2024,Annual,Dallam                                               ,000111,County,Not Adjusted,"3,425","3,522",97,2.8
2024,Annual,Dallas                                               ,000113,County,Not Adjusted,"1,375,000","1,433,463","58,463",4.1
2024,Annual,Dawson                                               ,000115,County,Not Adjusted,"4,149","4,335",186,4.3
2024,Annual,Deaf Smith                                           ,000117,County,Not Adjusted,"8,303","8,589",286,3.3
2024,Annual,Delta                                                ,000119,County,Not Adjusted,"2,253","2,357",104,4.4
2024,Annual,Denton                                               ,000121,County,Not Adjusted,"572,903","594,996","22,093",3.7
2024,Annual,Dickens                                              ,000125,County,Not Adjusted,715,747,32,4.3
2024,Annual,Dimmit                                               ,000127,County,Not Adjusted,"2,765","2,967",202,6.8
2024,Annual,DeWitt                                               ,000123,County,Not Adjusted,"6,547","6,854",307,4.5
2024,Annual,Duval                                                ,000131,County,Not Adjusted,"3,827","4,043",216,5.3
2024,Annual,Donley                                               ,000129,County,Not Adjusted,"1,358","1,422",64,4.5
2024,Annual,Eastland                                             ,000133,County,Not Adjusted,"5,764","6,087",323,5.3
2024,Annual,Ector                                                ,000135,County,Not Adjusted,"83,440","86,460","3,020",3.5
2024,Annual,Edwards                                              ,000137,County,Not Adjusted,845,872,27,3.1
2024,Annual,El Paso                                              ,000141,County,Not Adjusted,"396,846","414,118","17,272",4.2
2024,Annual,Ellis                                                ,000139,County,Not Adjusted,"117,674","122,199","4,525",3.7
2024,Annual,Erath                                                ,000143,County,Not Adjusted,"21,761","22,559",798,3.5
2024,Annual,Falls                                                ,000145,County,Not Adjusted,"6,342","6,627",285,4.3
2024,Annual,Fannin                                               ,000147,County,Not Adjusted,"16,111","16,726",615,3.7
2024,Annual,Fayette                                              ,000149,County,Not Adjusted,"10,261","10,671",410,3.8
2024,Annual,Floyd                                                ,000153,County,Not Adjusted,"2,328","2,430",102,4.2
2024,Annual,Fisher                                               ,000151,County,Not Adjusted,"1,804","1,862",58,3.1
2024,Annual,Foard                                                ,000155,County,Not Adjusted,509,527,18,3.4
2024,Annual,Fort Bend                                            ,000157,County,Not Adjusted,"451,442","470,816","19,374",4.1
2024,Annual,Franklin                                             ,000159,County,Not Adjusted,"5,234","5,439",205,3.8
2024,Annual,Galveston                                            ,000167,County,Not Adjusted,"175,226","183,079","7,853",4.3
2024,Annual,Frio                                                 ,000163,County,Not Adjusted,"5,950","6,321",371,5.9
2024,Annual,Gaines                                               ,000165,County,Not Adjusted,"9,210","9,519",309,3.2
2024,Annual,Freestone                                            ,000161,County,Not Adjusted,"6,868","7,209",341,4.7
2024,Annual,Garza                                                ,000169,County,Not Adjusted,"1,480","1,538",58,3.8
2024,Annual,Gillespie                                            ,000171,County,Not Adjusted,"13,101","13,510",409,3
2024,Annual,Glasscock                                            ,000173,County,Not Adjusted,600,619,19,3.1
2024,Annual,Goliad                                               ,000175,County,Not Adjusted,"2,748","2,868",120,4.2
2024,Annual,Gonzales                                             ,000177,County,Not Adjusted,"8,407","8,740",333,3.8
2024,Annual,Grimes                                               ,000185,County,Not Adjusted,"12,071","12,620",549,4.4
2024,Annual,Grayson                                              ,000181,County,Not Adjusted,"68,698","71,462","2,764",3.9
2024,Annual,Gregg                                                ,000183,County,Not Adjusted,"54,544","57,282","2,738",4.8
2024,Annual,Gray                                                 ,000179,County,Not Adjusted,"8,517","8,863",346,3.9
2024,Annual,Guadalupe                                            ,000187,County,Not Adjusted,"91,496","94,925","3,429",3.6
2024,Annual,Hansford                                             ,000195,County,Not Adjusted,"2,082","2,154",72,3.3
2024,Annual,Hamilton                                             ,000193,County,Not Adjusted,"3,192","3,329",137,4.1
2024,Annual,Hale                                                 ,000189,County,Not Adjusted,"13,272","13,833",561,4.1
2024,Annual,Hall                                                 ,000191,County,Not Adjusted,"1,079","1,131",52,4.6
2024,Annual,Hardeman                                             ,000197,County,Not Adjusted,"1,735","1,802",67,3.7
2024,Annual,Hardin                                               ,000199,County,Not Adjusted,"25,890","27,120","1,230",4.5
2024,Annual,Harris                                               ,000201,County,Not Adjusted,"2,386,885","2,497,420","110,535",4.4
2024,Annual,Hartley                                              ,000205,County,Not Adjusted,"1,803","1,861",58,3.1
2024,Annual,Harrison                                             ,000203,County,Not Adjusted,"30,402","31,961","1,559",4.9
2024,Annual,Haskell                                              ,000207,County,Not Adjusted,"1,944","2,023",79,3.9
2024,Annual,Hays                                                 ,000209,County,Not Adjusted,"155,866","161,312","5,446",3.4
2024,Annual,Hemphill                                             ,000211,County,Not Adjusted,"1,124","1,178",54,4.6
2024,Annual,Hidalgo                                              ,000215,County,Not Adjusted,"372,431","396,065","23,634",6
2024,Annual,Hill                                                 ,000217,County,Not Adjusted,"17,584","18,307",723,3.9
2024,Annual,Henderson                                            ,000213,County,Not Adjusted,"34,626","36,242","1,616",4.5
2024,Annual,Hockley                                              ,000219,County,Not Adjusted,"9,718","10,096",378,3.7
2024,Annual,Hood                                                 ,000221,County,Not Adjusted,"27,647","28,856","1,209",4.2
2024,Annual,Howard                                               ,000227,County,Not Adjusted,"13,399","13,868",469,3.4
2024,Annual,Hopkins                                              ,000223,County,Not Adjusted,"18,677","19,318",641,3.3
2024,Annual,Houston                                              ,000225,County,Not Adjusted,"7,864","8,227",363,4.4
2024,Annual,Hudspeth                                             ,000229,County,Not Adjusted,"1,003","1,046",43,4.1
2024,Annual,Hunt                                                 ,000231,County,Not Adjusted,"53,343","55,627","2,284",4.1
2024,Annual,Hutchinson                                           ,000233,County,Not Adjusted,"8,415","8,815",400,4.5
2024,Annual,Jack                                                 ,000237,County,Not Adjusted,"2,716","2,862",146,5.1
2024,Annual,Irion                                                ,000235,County,Not Adjusted,742,765,23,3
2024,Annual,Jackson                                              ,000239,County,Not Adjusted,"6,032","6,292",260,4.1
2024,Annual,Jasper                                               ,000241,County,Not Adjusted,"12,163","12,929",766,5.9
2024,Annual,Jim Hogg                                             ,000247,County,Not Adjusted,"1,888","1,982",94,4.7
2024,Annual,Jim Wells                                            ,000249,County,Not Adjusted,"14,897","15,710",813,5.2
2024,Annual,Jefferson                                            ,000245,County,Not Adjusted,"107,142","113,810","6,668",5.9
2024,Annual,Jeff Davis                                           ,000243,County,Not Adjusted,601,632,31,4.9
2024,Annual,Johnson                                              ,000251,County,Not Adjusted,"100,653","104,446","3,793",3.6
2024,Annual,Kaufman                                              ,000257,County,Not Adjusted,"94,351","98,262","3,911",4
2024,Annual,Jones                                                ,000253,County,Not Adjusted,"6,944","7,213",269,3.7
2024,Annual,Karnes                                               ,000255,County,Not Adjusted,"5,009","5,224",215,4.1
2024,Annual,Kendall                                              ,000259,County,Not Adjusted,"23,568","24,381",813,3.3
2024,Annual,Kenedy                                               ,000261,County,Not Adjusted,92,100,8,8
2024,Annual,Kimble                                               ,000267,County,Not Adjusted,"1,871","1,936",65,3.4
2024,Annual,Kent                                                 ,000263,County,Not Adjusted,298,312,14,4.5
2024,Annual,Kerr                                                 ,000265,County,Not Adjusted,"23,915","24,742",827,3.3
2024,Annual,King                                                 ,000269,County,Not Adjusted,154,158,4,2.5
2024,Annual,Kinney                                               ,000271,County,Not Adjusted,"1,213","1,265",52,4.1
2024,Annual,Kleberg                                              ,000273,County,Not Adjusted,"13,189","13,793",604,4.4
2024,Annual,Knox                                                 ,000275,County,Not Adjusted,"1,410","1,461",51,3.5
2024,Annual,Lamb                                                 ,000279,County,Not Adjusted,"5,555","5,774",219,3.8
2024,Annual,Lamar                                                ,000277,County,Not Adjusted,"22,785","23,732",947,4
2024,Annual,Lampasas                                             ,000281,County,Not Adjusted,"9,387","9,782",395,4
2024,Annual,La Salle                                             ,000283,County,Not Adjusted,"2,526","2,647",121,4.6
2024,Annual,Lavaca                                               ,000285,County,Not Adjusted,"9,623","9,933",310,3.1
2024,Annual,Lee                                                  ,000287,County,Not Adjusted,"8,884","9,205",321,3.5
2024,Annual,Leon                                                 ,000289,County,Not Adjusted,"6,992","7,286",294,4
2024,Annual,Liberty                                              ,000291,County,Not Adjusted,"40,416","42,682","2,266",5.3
2024,Annual,Limestone                                            ,000293,County,Not Adjusted,"8,896","9,293",397,4.3
2024,Annual,Lipscomb                                             ,000295,County,Not Adjusted,"1,370","1,416",46,3.2
2024,Annual,Loving                                               ,000301,County,Not Adjusted,222,225,3,1.3
2024,Annual,Live Oak                                             ,000297,County,Not Adjusted,"3,720","3,908",188,4.8
2024,Annual,Llano                                                ,000299,County,Not Adjusted,"8,860","9,239",379,4.1
2024,Annual,Lynn                                                 ,000305,County,Not Adjusted,"2,563","2,652",89,3.4
2024,Annual,Lubbock                                              ,000303,County,Not Adjusted,"161,210","167,019","5,809",3.5
2024,Annual,McMullen                                             ,000311,County,Not Adjusted,230,245,15,6.1
2024,Annual,Madison                                              ,000313,County,Not Adjusted,"4,785","5,014",229,4.6
2024,Annual,McCulloch                                            ,000307,County,Not Adjusted,"2,821","2,950",129,4.4
2024,Annual,McLennan                                             ,000309,County,Not Adjusted,"126,627","131,630","5,003",3.8
2024,Annual,Marion                                               ,000315,County,Not Adjusted,"3,496","3,706",210,5.7
2024,Annual,Martin                                               ,000317,County,Not Adjusted,"2,588","2,667",79,3
2024,Annual,Mason                                                ,000319,County,Not Adjusted,"1,724","1,793",69,3.8
2024,Annual,Matagorda                                            ,000321,County,Not Adjusted,"15,447","16,373",926,5.7
2024,Annual,Maverick                                             ,000323,County,Not Adjusted,"22,178","24,068","1,890",7.9
2024,Annual,Medina                                               ,000325,County,Not Adjusted,"23,163","24,144",981,4.1
2024,Annual,Menard                                               ,000327,County,Not Adjusted,901,932,31,3.3
2024,Annual,Midland                                              ,000329,County,Not Adjusted,"98,142","101,082","2,940",2.9
2024,Annual,Milam                                                ,000331,County,Not Adjusted,"11,236","11,743",507,4.3
2024,Annual,Mills                                                ,000333,County,Not Adjusted,"1,977","2,045",68,3.3
2024,Annual,Mitchell                                             ,000335,County,Not Adjusted,"3,414","3,529",115,3.3
2024,Annual,Montague                                             ,000337,County,Not Adjusted,"8,719","9,111",392,4.3
2024,Annual,Montgomery                                           ,000339,County,Not Adjusted,"344,299","358,512","14,213",4
2024,Annual,Moore                                                ,000341,County,Not Adjusted,"10,208","10,519",311,3
2024,Annual,Morris                                               ,000343,County,Not Adjusted,"4,691","4,962",271,5.5
2024,Annual,Nacogdoches                                          ,000347,County,Not Adjusted,"27,998","29,258","1,260",4.3
2024,Annual,Nolan                                                ,000353,County,Not Adjusted,"5,928","6,164",236,3.8
2024,Annual,Navarro                                              ,000349,County,Not Adjusted,"22,338","23,393","1,055",4.5
2024,Annual,Newton                                               ,000351,County,Not Adjusted,"4,824","5,161",337,6.5
2024,Annual,Motley                                               ,000345,County,Not Adjusted,415,432,17,3.9
2024,Annual,Nueces                                               ,000355,County,Not Adjusted,"160,850","167,982","7,132",4.2
2024,Annual,Palo Pinto                                           ,000363,County,Not Adjusted,"12,636","13,162",526,4
2024,Annual,Ochiltree                                            ,000357,County,Not Adjusted,"4,305","4,448",143,3.2
2024,Annual,Oldham                                               ,000359,County,Not Adjusted,735,761,26,3.4
2024,Annual,Orange                                               ,000361,County,Not Adjusted,"39,979","41,954","1,975",4.7
2024,Annual,Panola                                               ,000365,County,Not Adjusted,"8,428","8,889",461,5.2
2024,Annual,Parker                                               ,000367,County,Not Adjusted,"87,452","90,502","3,050",3.4
2024,Annual,Parmer                                               ,000369,County,Not Adjusted,"4,745","4,880",135,2.8
2024,Annual,Polk                                                 ,000373,County,Not Adjusted,"19,979","21,048","1,069",5.1
2024,Annual,Potter                                               ,000375,County,Not Adjusted,"50,214","52,000","1,786",3.4
2024,Annual,Presidio                                             ,000377,County,Not Adjusted,"2,446","2,617",171,6.5
2024,Annual,Pecos                                                ,000371,County,Not Adjusted,"5,297","5,515",218,4
2024,Annual,Rains                                                ,000379,County,Not Adjusted,"5,633","5,866",233,4
2024,Annual,Randall                                              ,000381,County,Not Adjusted,"78,775","81,170","2,395",3
2024,Annual,Reagan                                               ,000383,County,Not Adjusted,"1,310","1,364",54,4
2024,Annual,Real                                                 ,000385,County,Not Adjusted,936,982,46,4.7
2024,Annual,Red River                                            ,000387,County,Not Adjusted,"4,381","4,597",216,4.7
2024,Annual,Reeves                                               ,000389,County,Not Adjusted,"5,963","6,158",195,3.2
2024,Annual,Refugio                                              ,000391,County,Not Adjusted,"2,741","2,872",131,4.6
2024,Annual,Roberts                                              ,000393,County,Not Adjusted,335,350,15,4.3
2024,Annual,Robertson                                            ,000395,County,Not Adjusted,"7,419","7,751",332,4.3
2024,Annual,Rockwall                                             ,000397,County,Not Adjusted,"70,344","72,907","2,563",3.5
2024,Annual,Runnels                                              ,000399,County,Not Adjusted,"4,500","4,660",160,3.4
2024,Annual,Rusk                                                 ,000401,County,Not Adjusted,"20,522","21,485",963,4.5
2024,Annual,Sabine                                               ,000403,County,Not Adjusted,"3,378","3,595",217,6
2024,Annual,San Augustine                                        ,000405,County,Not Adjusted,"2,983","3,148",165,5.2
2024,Annual,San Saba                                             ,000411,County,Not Adjusted,"2,077","2,159",82,3.8
2024,Annual,Schleicher                                           ,000413,County,Not Adjusted,853,894,41,4.6
2024,Annual,San Jacinto                                          ,000407,County,Not Adjusted,"11,164","11,790",626,5.3
2024,Annual,San Patricio                                         ,000409,County,Not Adjusted,"30,339","31,887","1,548",4.9
2024,Annual,Scurry                                               ,000415,County,Not Adjusted,"6,655","6,915",260,3.8
2024,Annual,Shackelford                                          ,000417,County,Not Adjusted,"1,519","1,573",54,3.4
2024,Annual,Shelby                                               ,000419,County,Not Adjusted,"9,167","9,637",470,4.9
2024,Annual,Sherman                                              ,000421,County,Not Adjusted,"1,378","1,417",39,2.8
2024,Annual,Smith                                                ,000423,County,Not Adjusted,"113,688","118,212","4,524",3.8
2024,Annual,Somervell                                            ,000425,County,Not Adjusted,"4,323","4,503",180,4
2024,Annual,Starr                                                ,000427,County,Not Adjusted,"22,681","25,070","2,389",9.5
2024,Annual,Sterling                                             ,000431,County,Not Adjusted,644,665,21,3.2
2024,Annual,Stephens                                             ,000429,County,Not Adjusted,"3,375","3,532",157,4.4
2024,Annual,Stonewall                                            ,000433,County,Not Adjusted,886,906,20,2.2
2024,Annual,Swisher                                              ,000437,County,Not Adjusted,"2,326","2,435",109,4.5
2024,Annual,Taylor                                               ,000441,County,Not Adjusted,"70,312","72,812","2,500",3.4
2024,Annual,Sutton                                               ,000435,County,Not Adjusted,894,946,52,5.5
2024,Annual,Tarrant                                              ,000439,County,Not Adjusted,"1,148,713","1,195,720","47,007",3.9
2024,Annual,Terrell                                              ,000443,County,Not Adjusted,336,349,13,3.7
2024,Annual,Tom Green                                            ,000451,County,Not Adjusted,"59,501","61,495","1,994",3.2
2024,Annual,Terry                                                ,000445,County,Not Adjusted,"4,390","4,561",171,3.7
2024,Annual,Throckmorton                                         ,000447,County,Not Adjusted,653,680,27,4
2024,Annual,Titus                                                ,000449,County,Not Adjusted,"14,532","15,123",591,3.9
2024,Annual,Travis                                               ,000453,County,Not Adjusted,"820,055","849,812","29,757",3.5
2024,Annual,Trinity                                              ,000455,County,Not Adjusted,"4,943","5,207",264,5.1
2024,Annual,Tyler                                                ,000457,County,Not Adjusted,"6,073","6,466",393,6.1
2024,Annual,Upton                                                ,000461,County,Not Adjusted,"2,943","2,995",52,1.7
2024,Annual,Upshur                                               ,000459,County,Not Adjusted,"17,581","18,411",830,4.5
2024,Annual,Uvalde                                               ,000463,County,Not Adjusted,"10,261","10,710",449,4.2
2024,Annual,Val Verde                                            ,000465,County,Not Adjusted,"20,016","21,111","1,095",5.2
2024,Annual,Van Zandt                                            ,000467,County,Not Adjusted,"26,498","27,644","1,146",4.1
2024,Annual,Victoria                                             ,000469,County,Not Adjusted,"40,499","42,213","1,714",4.1
2024,Annual,Ward                                                 ,000475,County,Not Adjusted,"5,780","5,979",199,3.3
2024,Annual,Walker                                               ,000471,County,Not Adjusted,"29,211","30,469","1,258",4.1
2024,Annual,Waller                                               ,000473,County,Not Adjusted,"29,428","30,872","1,444",4.7
2024,Annual,Washington                                           ,000477,County,Not Adjusted,"16,810","17,466",656,3.8
2024,Annual,Webb                                                 ,000479,County,Not Adjusted,"113,840","118,816","4,976",4.2
2024,Annual,Wharton                                              ,000481,County,Not Adjusted,"18,645","19,489",844,4.3
2024,Annual,Wheeler                                              ,000483,County,Not Adjusted,"2,244","2,321",77,3.3
2024,Annual,Wichita                                              ,000485,County,Not Adjusted,"55,597","57,817","2,220",3.8
2024,Annual,Wilbarger                                            ,000487,County,Not Adjusted,"6,050","6,281",231,3.7
2024,Annual,Willacy                                              ,000489,County,Not Adjusted,"8,598","9,095",497,5.5
2024,Annual,Williamson                                           ,000491,County,Not Adjusted,"397,489","412,343","14,854",3.6
2024,Annual,Wilson                                               ,000493,County,Not Adjusted,"25,222","26,115",893,3.4
2024,Annual,Winkler                                              ,000495,County,Not Adjusted,"4,366","4,508",142,3.1
2024,Annual,Young                                                ,000503,County,Not Adjusted,"8,203","8,499",296,3.5
2024,Annual,Wise                                                 ,000497,County,Not Adjusted,"38,984","40,479","1,495",3.7
2024,Annual,Wood                                                 ,000499,County,Not Adjusted,"17,251","18,117",866,4.8
2024,Annual,Yoakum                                               ,000501,County,Not Adjusted,"3,074","3,186",112,3.5
2024,Annual,Zapata                                               ,000505,County,Not Adjusted,"4,170","4,481",311,6.9
2024,Annual,Zavala                                               ,000507,County,Not Adjusted,"4,031","4,294",263,6.1
