Location,Data,DataFormat,TimeFrame,LocationType,LocationId
Crosby,4832,Number,2023,County,6568
Culberson,2208,Number,2023,County,6569
Dallam,7256,Number,2023,County,6570
Dallas,2628504,Number,2023,County,6571
Dawson,11999,Number,2023,County,6572
Deaf Smith,18518,Number,2023,County,6573
Delta,5559,Number,2023,County,6574
Denton,997139,Number,2023,County,6575
DeWitt,19648,Number,2023,County,6576
Dickens,1716,Number,2023,County,6577
Dimmit,8216,Number,2023,County,6578
Donley,3241,Number,2023,County,6579
Duval,9676,Number,2023,County,6580
Eastland,18038,Number,2023,County,6581
Ector,170203,Number,2023,County,6582
Edwards,1393,Number,2023,County,6583
Ellis,219702,Number,2023,County,6584
El Paso,870279,Number,2023,County,6585
Erath,44043,Number,2023,County,6586
Falls,17364,Number,2023,County,6587
Fannin,37358,Number,2023,County,6588
Fayette,25716,Number,2023,County,6589
Fisher,3580,Number,2023,County,6590
Floyd,5174,Number,2023,County,6591
Foard,1069,Number,2023,County,6592
Fort Bend,898514,Number,2023,County,6593
Franklin,10790,Number,2023,County,6594
Freestone,20342,Number,2023,County,6595
Frio,18520,Number,2023,County,6596
Gaines,23075,Number,2023,County,6597
Galveston,360795,Number,2023,County,6598
Garza,5638,Number,2023,County,6599
Gillespie,27791,Number,2023,County,6600
Glasscock,1116,Number,2023,County,6601
Goliad,7020,Number,2023,County,6602
Gonzales,19580,Number,2023,County,6603
Gray,20692,Number,2023,County,6604
Grayson,147514,Number,2023,County,6605
Gregg,125053,Number,2023,County,6606
Grimes,31842,Number,2023,County,6607
Guadalupe,189430,Number,2023,County,6608
Hale,31707,Number,2023,County,6609
Hall,2873,Number,2023,County,6610
Hamilton,8605,Number,2023,County,6611
Hansford,5104,Number,2023,County,6612
Hardeman,3487,Number,2023,County,6613
Hardin,58159,Number,2023,County,6614
Harris,4837161,Number,2023,County,6615
Harrison,69167,Number,2023,County,6616
Hartley,5284,Number,2023,County,6617
Haskell,5370,Number,2023,County,6618
Hays,282015,Number,2023,County,6619
Hemphill,3331,Number,2023,County,6620
Henderson,85681,Number,2023,County,6621
Hidalgo,903213,Number,2023,County,6622
Hill,38165,Number,2023,County,6623
Hockley,21358,Number,2023,County,6624
Hood,67655,Number,2023,County,6625
Hopkins,38186,Number,2023,County,6626
Houston,22142,Number,2023,County,6627
Howard,34173,Number,2023,County,6628
Hudspeth,3430,Number,2023,County,6629
Hunt,115143,Number,2023,County,6630
Hutchinson,19984,Number,2023,County,6631
Irion,1552,Number,2023,County,6632
Jack,8858,Number,2023,County,6633
Jackson,15458,Number,2023,County,6634
Jasper,33384,Number,2023,County,6635
Jeff Davis,1867,Number,2023,County,6636
Jefferson,253138,Number,2023,County,6637
Jim Hogg,4652,Number,2023,County,6638
Jim Wells,38820,Number,2023,County,6639
Johnson,207702,Number,2023,County,6640
Jones,20372,Number,2023,County,6641
Karnes,14910,Number,2023,County,6642
Kaufman,179647,Number,2023,County,6643
Kendall,51967,Number,2023,County,6644
Kenedy,347,Number,2023,County,6645
Kent,747,Number,2023,County,6646
Kerr,53961,Number,2023,County,6647
Kimble,4430,Number,2023,County,6648
King,233,Number,2023,County,6649
Kinney,3169,Number,2023,County,6650
Kleberg,30646,Number,2023,County,6651
Knox,3242,Number,2023,County,6652
Lamar,50722,Number,2023,County,6653
Lamb,12670,Number,2023,County,6654
Lampasas,23233,Number,2023,County,6655
La Salle,6617,Number,2023,County,6656
Lavaca,20274,Number,2023,County,6657
Lee,18239,Number,2023,County,6658
Leon,16471,Number,2023,County,6659
Liberty,107375,Number,2023,County,6660
Limestone,22265,Number,2023,County,6661
Lipscomb,2978,Number,2023,County,6662
Live Oak,11566,Number,2023,County,6663
Llano,23117,Number,2023,County,6664
Loving,52,Number,2023,County,6665
Lubbock,322128,Number,2023,County,6666
Lynn,5633,Number,2023,County,6667
McCulloch,7406,Number,2023,County,6668
McLennan,262997,Number,2023,County,6669
McMullen,565,Number,2023,County,6670
Madison,13386,Number,2023,County,6671
Marion,9655,Number,2023,County,6672
Martin,5205,Number,2023,County,6673
Mason,4025,Number,2023,County,6674
Matagorda,36298,Number,2023,County,6675
Maverick,57775,Number,2023,County,6676
Medina,54889,Number,2023,County,6677
Menard,1940,Number,2023,County,6678
Midland,177539,Number,2023,County,6679
Milam,25941,Number,2023,County,6680
Mills,4501,Number,2023,County,6681
Mitchell,9077,Number,2023,County,6682
Montague,21522,Number,2023,County,6683
Montgomery,711365,Number,2023,County,6684
Moore,21148,Number,2023,County,6685
Morris,12071,Number,2023,County,6686
Motley,1020,Number,2023,County,6687
Nacogdoches,65441,Number,2023,County,6688
Navarro,55836,Number,2023,County,6689
Newton,12080,Number,2023,County,6690
Nolan,14263,Number,2023,County,6691
Nueces,352725,Number,2023,County,6692
Ochiltree,9599,Number,2023,County,6693
Oldham,1776,Number,2023,County,6694
Orange,85327,Number,2023,County,6695
Palo Pinto,29500,Number,2023,County,6696
Panola,22856,Number,2023,County,6697
Parker,173313,Number,2023,County,6698
Parmer,9491,Number,2023,County,6699
Pecos,14600,Number,2023,County,6700
Polk,53801,Number,2023,County,6701
Potter,115599,Number,2023,County,6702
Presidio,5989,Number,2023,County,6703
Rains,12949,Number,2023,County,6704
Randall,149385,Number,2023,County,6705
Reagan,3203,Number,2023,County,6706
Real,2817,Number,2023,County,6707
Red River,11556,Number,2023,County,6708
Reeves,14887,Number,2023,County,6709
Refugio,6746,Number,2023,County,6710
Roberts,801,Number,2023,County,6711
Robertson,17124,Number,2023,County,6712
Rockwall,130150,Number,2023,County,6713
Runnels,9846,Number,2023,County,6714
Rusk,53462,Number,2023,County,6715
Sabine,10136,Number,2023,County,6716
San Augustine,7860,Number,2023,County,6717
San Jacinto,29672,Number,2023,County,6718
San Patricio,69767,Number,2023,County,6719
San Saba,5832,Number,2023,County,6720
Schleicher,2389,Number,2023,County,6721
Scurry,16425,Number,2023,County,6722
Shackelford,3322,Number,2023,County,6723
Shelby,24018,Number,2023,County,6724
Sherman,2712,Number,2023,County,6725
Smith,244908,Number,2023,County,6726
Somervell,9880,Number,2023,County,6727
Starr,65740,Number,2023,County,6728
Stephens,9155,Number,2023,County,6729
Sterling,1394,Number,2023,County,6730
Stonewall,1242,Number,2023,County,6731
Sutton,3232,Number,2023,County,6732
Swisher,6833,Number,2023,County,6733
Tarrant,2186501,Number,2023,County,6734
Taylor,146010,Number,2023,County,6735
Terrell,662,Number,2023,County,6736
Terry,11416,Number,2023,County,6737
Throckmorton,1525,Number,2023,County,6738
Titus,31319,Number,2023,County,6739
Tom Green,120397,Number,2023,County,6740
Travis,1353237,Number,2023,County,6741
Trinity,14297,Number,2023,County,6742
Tyler,20340,Number,2023,County,6743
Upshur,43274,Number,2023,County,6744
Upton,3234,Number,2023,County,6745
Uvalde,24758,Number,2023,County,6746
Val Verde,47518,Number,2023,County,6747
Van Zandt,63034,Number,2023,County,6748
Victoria,91781,Number,2023,County,6749
Walker,80890,Number,2023,County,6750
Waller,63614,Number,2023,County,6751
Ward,11518,Number,2023,County,6752
Washington,36919,Number,2023,County,6753
Webb,272605,Number,2023,County,6754
Wharton,41700,Number,2023,County,6755
Wheeler,4865,Number,2023,County,6756
Wichita,130017,Number,2023,County,6757
Wilbarger,12530,Number,2023,County,6758
Willacy,20124,Number,2023,County,6759
Williamson,698870,Number,2023,County,6760
Wilson,52960,Number,2023,County,6761
Winkler,7608,Number,2023,County,6762
Wise,77625,Number,2023,County,6763
Wood,47887,Number,2023,County,6764
Yoakum,7571,Number,2023,County,6765
Young,18284,Number,2023,County,6766
Zapata,13471,Number,2023,County,6767
Zavala,9552,Number,2023,County,6768
