"Location","Data","LocationType","DataFormat","TimeFrame","LocationId"
"Coryell",19288,"County","Number",2023,6564
"Cottle",260,"County","Number",2023,6565
"Crane",1332,"County","Number",2023,6566
"Crockett",732,"County","Number",2023,6567
"Crosby",1210,"County","Number",2023,6568
"Culberson",524,"County","Number",2023,6569
"Dallam",2303,"County","Number",2023,6570
"Dallas",658645,"County","Number",2023,6571
"Dawson",3033,"County","Number",2023,6572
"DeWitt",4412,"County","Number",2023,6576
"Deaf Smith",5694,"County","Number",2023,6573
"Delta",1246,"County","Number",2023,6574
"Denton",225011,"County","Number",2023,6575
"Dickens",250,"County","Number",2023,6577
"Dimmit",2305,"County","Number",2023,6578
"Donley",658,"County","Number",2023,6579
"Duval",2577,"County","Number",2023,6580
"Eastland",3663,"County","Number",2023,6581
"Ector",50473,"County","Number",2023,6582
"Edwards",304,"County","Number",2023,6583
"El Paso",229461,"County","Number",2023,6585
"Ellis",54510,"County","Number",2023,6584
"Erath",9341,"County","Number",2023,6586
"Falls",3617,"County","Number",2023,6587
"Fannin",7623,"County","Number",2023,6588
"Fayette",5109,"County","Number",2023,6589
"Fisher",790,"County","Number",2023,6590
"Floyd",1345,"County","Number",2023,6591
"Foard",196,"County","Number",2023,6592
"Fort Bend",226770,"County","Number",2023,6593
"Franklin",2444,"County","Number",2023,6594
"Freestone",4515,"County","Number",2023,6595
"Frio",4134,"County","Number",2023,6596
"Gaines",8021,"County","Number",2023,6597
"Galveston",83036,"County","Number",2023,6598
"Garza",857,"County","Number",2023,6599
"Gillespie",5405,"County","Number",2023,6600
"Glasscock",280,"County","Number",2023,6601
"Goliad",1421,"County","Number",2023,6602
"Gonzales",5089,"County","Number",2023,6603
"Gray",5014,"County","Number",2023,6604
"Grayson",33912,"County","Number",2023,6605
"Gregg",31223,"County","Number",2023,6606
"Grimes",6854,"County","Number",2023,6607
"Guadalupe",44530,"County","Number",2023,6608
"Hale",8306,"County","Number",2023,6609
"Hall",607,"County","Number",2023,6610
"Hamilton",1825,"County","Number",2023,6611
"Hansford",1470,"County","Number",2023,6612
"Hardeman",769,"County","Number",2023,6613
"Hardin",13520,"County","Number",2023,6614
"Harris",1234815,"County","Number",2023,6615
"Harrison",16678,"County","Number",2023,6616
"Hartley",1081,"County","Number",2023,6617
"Haskell",922,"County","Number",2023,6618
"Hays",62634,"County","Number",2023,6619
"Hemphill",951,"County","Number",2023,6620
"Henderson",17575,"County","Number",2023,6621
"Hidalgo",279592,"County","Number",2023,6622
"Hill",8634,"County","Number",2023,6623
"Hockley",5506,"County","Number",2023,6624
"Hood",13285,"County","Number",2023,6625
"Hopkins",8974,"County","Number",2023,6626
"Houston",4396,"County","Number",2023,6627
"Howard",7271,"County","Number",2023,6628
"Hudspeth",698,"County","Number",2023,6629
"Hunt",26167,"County","Number",2023,6630
"Hutchinson",4813,"County","Number",2023,6631
"Irion",349,"County","Number",2023,6632
"Jack",1894,"County","Number",2023,6633
"Jackson",3889,"County","Number",2023,6634
"Jasper",7564,"County","Number",2023,6635
"Jeff Davis",86,"County","Number",2023,6636
"Jefferson",60546,"County","Number",2023,6637
"Jim Hogg",1360,"County","Number",2023,6638
"Jim Wells",10617,"County","Number",2023,6639
"Johnson",51372,"County","Number",2023,6640
"Jones",3512,"County","Number",2023,6641
"Karnes",3254,"County","Number",2023,6642
"Kaufman",47429,"County","Number",2023,6643
"Kendall",11122,"County","Number",2023,6644
"Kenedy",63,"County","Number",2023,6645
"Kent",192,"County","Number",2023,6646
"Kerr",10356,"County","Number",2023,6647
"Kimble",857,"County","Number",2023,6648
"King",70,"County","Number",2023,6649
"Kinney",624,"County","Number",2023,6650
"Kleberg",7597,"County","Number",2023,6651
"Knox",860,"County","Number",2023,6652
"La Salle",1256,"County","Number",2023,6656
"Lamar",12045,"County","Number",2023,6653
"Lamb",3441,"County","Number",2023,6654
"Lampasas",4846,"County","Number",2023,6655
"Lavaca",4718,"County","Number",2023,6657
"Lee",3891,"County","Number",2023,6658
"Leon",3642,"County","Number",2023,6659
"Liberty",28019,"County","Number",2023,6660
"Limestone",4848,"County","Number",2023,6661
"Lipscomb",705,"County","Number",2023,6662
"Live Oak",2354,"County","Number",2023,6663
"Llano",3397,"County","Number",2023,6664
"Loving",16,"County","Number",2023,6665
"Lubbock",75453,"County","Number",2023,6666
"Lynn",1564,"County","Number",2023,6667
"Madison",2835,"County","Number",2023,6671
"Marion",1716,"County","Number",2023,6672
"Martin",1612,"County","Number",2023,6673
"Mason",798,"County","Number",2023,6674
"Matagorda",9330,"County","Number",2023,6675
"Maverick",18174,"County","Number",2023,6676
"McCulloch",1572,"County","Number",2023,6668
"McLennan",62751,"County","Number",2023,6669
"McMullen",111,"County","Number",2023,6670
"Medina",12063,"County","Number",2023,6677
"Menard",381,"County","Number",2023,6678
"Midland",50839,"County","Number",2023,6679
"Milam",5943,"County","Number",2023,6680
"Mills",978,"County","Number",2023,6681
"Mitchell",1970,"County","Number",2023,6682
"Montague",4677,"County","Number",2023,6683
"Montgomery",174464,"County","Number",2023,6684
"Moore",6525,"County","Number",2023,6685
"Morris",2721,"County","Number",2023,6686
"Motley",209,"County","Number",2023,6687
"Nacogdoches",15447,"County","Number",2023,6688
"Navarro",14295,"County","Number",2023,6689
"Newton",2150,"County","Number",2023,6690
"Nolan",3536,"County","Number",2023,6691
"Nueces",85258,"County","Number",2023,6692
"Ochiltree",2933,"County","Number",2023,6693
"Oldham",412,"County","Number",2023,6694
"Orange",20447,"County","Number",2023,6695
"Palo Pinto",6784,"County","Number",2023,6696
"Panola",5085,"County","Number",2023,6697
"Parker",40571,"County","Number",2023,6698
"Parmer",2592,"County","Number",2023,6699
"Pecos",3664,"County","Number",2023,6700
"Polk",10169,"County","Number",2023,6701
"Potter",30230,"County","Number",2023,6702
"Presidio",1676,"County","Number",2023,6703
"Rains",2527,"County","Number",2023,6704
"Randall",35144,"County","Number",2023,6705
"Reagan",918,"County","Number",2023,6706
"Real",485,"County","Number",2023,6707
"Red River",2255,"County","Number",2023,6708
"Reeves",3327,"County","Number",2023,6709
"Refugio",1537,"County","Number",2023,6710
"Roberts",187,"County","Number",2023,6711
"Robertson",3916,"County","Number",2023,6712
"Rockwall",31971,"County","Number",2023,6713
"Runnels",2283,"County","Number",2023,6714
"Rusk",11266,"County","Number",2023,6715
"Sabine",1790,"County","Number",2023,6716
"San Augustine",1570,"County","Number",2023,6717
"San Jacinto",6183,"County","Number",2023,6718
"San Patricio",17872,"County","Number",2023,6719
"San Saba",1127,"County","Number",2023,6720
"Schleicher",551,"County","Number",2023,6721
"Scurry",4036,"County","Number",2023,6722
"Shackelford",732,"County","Number",2023,6723
"Shelby",6174,"County","Number",2023,6724
"Sherman",730,"County","Number",2023,6725
"Smith",58238,"County","Number",2023,6726
"Somervell",2057,"County","Number",2023,6727
"Starr",21169,"County","Number",2023,6728
"Stephens",1986,"County","Number",2023,6729
"Sterling",387,"County","Number",2023,6730
"Stonewall",267,"County","Number",2023,6731
"Sutton",765,"County","Number",2023,6732
"Swisher",1609,"County","Number",2023,6733
"Tarrant",542054,"County","Number",2023,6734
"Taylor",36711,"County","Number",2023,6735
"Terrell",119,"County","Number",2023,6736
"Terry",3064,"County","Number",2023,6737
"Texas",7507372,"State","Number",2023,45
"Throckmorton",328,"County","Number",2023,6738
"Titus",8907,"County","Number",2023,6739
"Tom Green",28832,"County","Number",2023,6740
"Travis",283947,"County","Number",2023,6741
"Trinity",2751,"County","Number",2023,6742
"Tyler",3769,"County","Number",2023,6743
"Upshur",9884,"County","Number",2023,6744
"Upton",890,"County","Number",2023,6745
"Uvalde",6680,"County","Number",2023,6746
"Val Verde",13472,"County","Number",2023,6747
"Van Zandt",13803,"County","Number",2023,6748
"Victoria",22744,"County","Number",2023,6749
"Walker",12872,"County","Number",2023,6750
"Waller",14843,"County","Number",2023,6751
"Ward",3340,"County","Number",2023,6752
"Washington",7719,"County","Number",2023,6753
"Webb",84972,"County","Number",2023,6754
"Wharton",10622,"County","Number",2023,6755
"Wheeler",1210,"County","Number",2023,6756
"Wichita",29115,"County","Number",2023,6757
"Wilbarger",2656,"County","Number",2023,6758
"Willacy",4610,"County","Number",2023,6759
"Williamson",164042,"County","Number",2023,6760
"Wilson",12006,"County","Number",2023,6761
"Winkler",2153,"County","Number",2023,6762
"Wise",18004,"County","Number",2023,6763
"Wood",8814,"County","Number",2023,6764
"Yoakum",2499,"County","Number",2023,6765
"Young",4259,"County","Number",2023,6766
"Zapata",4304,"County","Number",2023,6767
"Zavala",2696,"County","Number",2023,6768
