LocationId,Location,TimeFrame,DataFormat,Data
6728,Starr,,Number,
6729,Stephens,,Number,
6730,Sterling,,Number,
6731,Stonewall,,Number,
6732,Sutton,,Number,
6733,Swisher,,Number,
6734,Tarrant,,Number,
6735,Taylor,,Number,
6736,Terrell,,Number,
6737,Terry,,Number,
6738,Throckmorton,,Number,
6739,Titus,,Number,
6740,Tom Green,,Number,
6741,Travis,,Number,
6742,Trinity,,Number,
6743,Tyler,,Number,
6744,Upshur,,Number,
6745,Upton,,Number,
6746,Uvalde,,Number,
6747,Val Verde,,Number,
6748,Van Zandt,,Number,
6749,Victoria,,Number,
6750,Walker,,Number,
6751,Waller,,Number,
6752,Ward,,Number,
6753,Washington,,Number,
6754,Webb,,Number,
6755,Wharton,,Number,
6756,Wheeler,,Number,
6757,Wichita,,Number,
6758,Wilbarger,,Number,
6759,Willacy,,Number,
6760,Williamson,,Number,
6761,Wilson,,Number,
6762,Winkler,,Number,
6763,Wise,,Number,
6764,Wood,,Number,
6765,Yoakum,,Number,
6766,Young,,Number,
6767,Zapata,,Number,
6768,Zavala,,Number,
