,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,Average # of Individuals,% Children under 18
Garza,616,626,622,610,590,567,569,561,554,534,537,547,578,50.56%
Gillespie,"1,184","1,223","1,211","1,191","1,167","1,165","1,174","1,135","1,105","1,072","1,086","1,101","1,151",50.12%
Glasscock,38,38,38,38,35,24,24,37,35,42,43,32,35,55.66%
Goliad,858,876,891,906,865,834,827,822,806,791,789,733,833,42.15%
Gonzales,"3,285","3,374","3,390","3,394","3,272","3,123","3,100","3,050","2,981","2,981","2,940","2,952","3,154",50.81%
Gray,"3,168","3,228","3,202","3,181","3,001","2,864","2,893","2,860","2,866","2,832","2,819","2,871","2,982",43.05%
Grayson,"14,241","14,383","14,403","14,323","13,904","13,343","13,236","12,992","12,651","12,692","12,767","12,483","13,452",47.39%
Gregg,"18,556","18,777","18,819","18,818","18,360","17,896","17,803","17,478","17,358","17,342","17,501","17,285","17,999",47.94%
Grimes,"3,832","3,884","3,927","3,864","3,757","3,598","3,560","3,496","3,499","3,524","3,572","3,604","3,676",46.16%
Guadalupe,"13,917","14,091","14,227","14,195","13,726","13,324","13,292","13,037","13,201","13,404","13,466","13,466","13,612",48.29%
Hale,"5,386","5,410","5,399","5,341","5,157","5,076","5,101","4,910","4,828","4,751","4,742","4,551","5,054",48.99%
Hall,529,534,511,528,519,490,485,445,405,408,429,426,476,41.60%
Hamilton,857,861,880,891,858,844,842,813,834,838,840,815,848,42.63%
Hansford,295,301,301,271,264,272,250,257,227,221,222,221,259,55.38%
Hardeman,509,506,506,507,488,481,480,466,440,455,464,486,482,45.53%
Hardin,"6,500","6,591","6,725","6,687","6,415","6,281","6,278","6,158","6,111","6,046","6,116","6,080","6,332",45.36%
Harris,"650,436","658,483","662,232","662,235","640,364","620,450","615,463","605,297","600,296","604,247","608,907","605,211","627,802",52.36%
Harrison,"9,765","9,845","9,972","9,944","9,585","9,379","9,302","9,134","9,042","9,115","9,209","9,077","9,447",46.77%
Hartley,164,188,182,176,178,176,175,155,154,143,145,128,164,54.89%
Haskell,832,827,817,833,812,799,787,793,786,783,770,783,802,37.00%
Hays,"14,902","15,227","15,389","15,238","14,783","14,162","14,117","13,924","13,897","14,060","14,290","14,252","14,520",51.40%
Hemphill,209,201,201,207,196,187,186,171,170,170,177,174,187,58.87%
Henderson,"12,341","12,527","12,574","12,639","12,345","12,008","12,008","11,788","11,471","11,571","11,628","11,702","12,050",43.16%
Hidalgo,"227,590","229,928","230,013","231,058","224,823","219,367","218,524","215,623","213,505","214,800","215,342","214,544","221,260",54.48%
Hill,"4,764","4,781","4,842","4,838","4,702","4,580","4,528","4,469","4,419","4,419","4,455","4,361","4,597",44.30%
Hockley,"3,051","3,076","3,167","3,093","3,083","2,984","2,933","2,910","2,873","2,936","2,891","2,876","2,989",48.72%
Hood,"4,556","4,698","4,640","4,574","4,474","4,377","4,349","4,284","4,215","4,263","4,181","4,112","4,394",45.45%
Hopkins,"4,021","4,071","4,078","4,088","4,045","3,974","3,980","3,969","3,908","3,844","3,815","3,895","3,974",45.02%
Houston,"3,735","3,745","3,717","3,720","3,630","3,570","3,547","3,505","3,445","3,407","3,440","3,382","3,570",42.78%
Howard,"4,216","4,278","4,263","4,211","4,026","3,887","3,859","3,771","3,711","3,672","3,693","3,614","3,933",47.93%
Hudspeth,885,882,908,930,896,857,882,850,833,856,850,840,872,43.10%
Hunt,"12,592","12,654","12,776","12,785","12,388","12,107","11,976","11,836","11,665","11,736","11,678","11,547","12,145",46.98%
Hutchinson,"2,389","2,404","2,412","2,400","2,326","2,229","2,259","2,211","2,140","2,167","2,187","2,136","2,272",46.10%
Irion,97,91,86,88,88,99,106,109,106,105,100,93,97,44.01%
Jack,827,870,872,859,830,788,758,761,767,761,762,722,798,47.84%
Jackson,"2,002","1,988","1,992","1,990","1,947","1,955","1,918","1,884","1,838","1,828","1,818","1,814","1,915",48.63%
Jasper,"6,508","6,630","6,644","6,578","6,486","6,249","6,162","6,052","5,905","5,951","5,944","5,866","6,248",43.52%
Jeff Davis,111,115,116,121,112,107,105,102,101,99,100,91,107,38.05%
Jefferson,"43,103","43,831","44,294","44,535","43,432","42,449","42,466","41,633","41,551","41,772","42,003","41,599","42,722",47.27%
Jim Hogg,"1,440","1,416","1,383","1,401","1,356","1,308","1,319","1,253","1,263","1,251","1,256","1,250","1,325",48.00%
Jim Wells,"9,205","9,374","9,341","9,447","9,236","9,019","9,064","9,017","8,696","8,758","8,946","9,027","9,094",48.26%
Johnson,"16,169","16,329","16,421","16,393","15,939","15,344","15,166","14,988","14,838","14,927","14,914","14,718","15,512",49.06%
Jones,"2,010","1,957","1,989","2,017","1,953","1,887","1,877","1,878","1,798","1,809","1,854","1,866","1,908",44.97%
Karnes,"2,197","2,188","2,124","2,106","2,101","2,070","2,060","1,982","1,967","1,984","1,971","1,993","2,062",47.70%
Kaufman,"17,736","18,117","18,186","18,302","17,885","17,517","17,695","17,573","17,546","17,630","17,822","17,653","17,805",54.71%
Kendall,"1,665","1,702","1,686","1,689","1,669","1,665","1,605","1,587","1,557","1,592","1,646","1,663","1,644",48.72%
Kenedy,27,29,32,34,37,36,39,39,33,36,37,33,34,36.41%
Kent,79,85,77,70,70,65,71,71,67,58,50,42,67,36.27%
Kerr,"4,246","4,350","4,366","4,390","4,302","4,112","4,061","4,038","3,893","3,857","3,862","3,809","4,107",44.47%
Kimble,454,451,470,472,450,440,447,419,405,414,403,377,434,42.50%
King,3,3,3,8,8,9,8,3,3,8,8,8,6,45.83%
Kinney,537,549,545,546,533,516,496,493,494,487,473,482,513,40.73%
Kleberg,"5,960","6,024","5,949","5,974","5,910","5,736","5,716","5,756","5,584","5,620","5,780","5,848","5,821",44.41%
Knox,544,549,563,559,494,492,499,509,487,480,492,486,513,45.29%
Lamar,"7,641","7,791","7,882","7,893","7,717","7,504","7,439","7,334","7,277","7,291","7,334","7,321","7,535",43.54%
Lamb,"2,043","2,048","2,044","2,052","2,014","1,943","1,962","1,847","1,855","1,792","1,746","1,729","1,923",46.46%
Lampasas,"2,236","2,288","2,281","2,288","2,228","2,148","2,193","2,172","2,080","2,096","2,118","2,046","2,181",42.51%
La Salle,"1,336","1,346","1,343","1,348","1,287","1,245","1,286","1,258","1,186","1,168","1,204","1,135","1,262",45.11%
Lavaca,"2,074","2,097","2,097","2,066","2,019","1,934","1,928","1,940","1,842","1,875","1,872","1,814","1,963",48.72%
Lee,"1,793","1,776","1,833","1,870","1,835","1,844","1,782","1,802","1,780","1,771","1,740","1,763","1,799",52.54%
Leon,"2,091","2,130","2,165","2,201","2,132","2,097","2,073","2,022","1,976","2,011","2,023","2,010","2,078",44.40%
Liberty,"18,529","18,840","19,069","19,103","18,520","18,126","18,029","17,765","17,626","17,748","17,902","17,787","18,254",57.53%
Limestone,"3,578","3,646","3,611","3,584","3,448","3,338","3,326","3,337","3,320","3,341","3,272","3,252","3,421",45.88%
Lipscomb,195,197,203,208,196,187,180,173,179,181,173,175,187,50.87%
Live Oak,"1,550","1,562","1,585","1,610","1,498","1,469","1,482","1,485","1,457","1,456","1,372","1,396","1,494",43.91%
Llano,"1,996","2,002","2,028","2,029","1,942","1,855","1,801","1,736","1,625","1,634","1,657","1,616","1,827",42.39%
Loving,9,8,10,10,13,11,11,11,17,17,16,11,12,68.75%
Lubbock,"39,661","40,138","40,354","40,155","38,712","37,199","36,953","36,327","35,753","35,751","35,772","35,304","37,673",49.07%
Lynn,863,865,869,871,824,789,805,765,752,752,760,743,805,45.96%
Madison,"1,878","1,925","1,928","1,950","1,924","1,913","1,900","1,785","1,771","1,747","1,746","1,730","1,850",48.24%
Marion,"1,906","1,945","1,957","1,951","1,921","1,856","1,833","1,812","1,766","1,769","1,756","1,725","1,850",37.40%
Martin,619,630,614,601,593,542,536,494,462,479,467,480,543,53.74%
Mason,243,247,248,252,252,239,250,262,256,248,246,254,250,38.97%
Matagorda,"6,131","6,214","6,252","6,188","6,006","5,915","5,820","5,654","5,528","5,523","5,619","5,558","5,867",48.25%
Maverick,"17,116","17,336","17,259","17,149","16,546","16,187","16,073","15,828","15,542","15,506","15,472","15,163","16,265",45.46%
McCulloch,"1,222","1,201","1,212","1,219","1,192","1,233","1,253","1,206","1,196","1,203","1,186","1,152","1,206",40.87%
McLennan,"33,731","34,236","34,231","34,192","33,064","31,993","31,909","31,327","31,155","31,434","31,598","31,324","32,516",48.61%
McMullen,67,64,66,64,65,51,49,48,43,45,43,60,55,41.65%
Medina,"6,493","6,624","6,552","6,536","6,359","6,179","6,056","6,076","6,023","6,067","6,113","6,123","6,267",46.06%
Menard,205,213,229,228,221,227,233,236,224,236,231,234,226,37.76%
Midland,"15,005","15,296","15,535","15,734","15,094","14,545","14,287","13,870","13,682","13,739","13,811","13,763","14,530",52.29%
Milam,"3,681","3,774","3,782","3,741","3,638","3,523","3,510","3,439","3,419","3,452","3,498","3,562","3,585",44.49%
Mills,414,409,409,406,386,388,374,375,389,387,371,376,390,42.46%
Mitchell,900,872,906,895,844,864,880,876,870,865,840,845,871,46.23%
Montague,"2,015","1,999","2,008","1,997","1,943","1,918","1,890","1,880","1,857","1,842","1,873","1,827","1,921",41.06%
Montgomery,"51,187","52,458","52,772","52,814","51,282","49,476","49,325","48,321","47,944","48,642","49,233","48,912","50,197",52.46%
Moore,"1,773","1,836","1,830","1,842","1,783","1,692","1,665","1,641","1,636","1,670","1,628","1,618","1,718",57.14%
Morris,"2,481","2,519","2,523","2,527","2,470","2,382","2,372","2,350","2,313","2,327","2,321","2,291","2,406",43.14%
Motley,106,103,107,110,114,118,111,114,97,105,99,106,108,38.76%
Nacogdoches,"9,764","9,922","9,923","9,917","9,642","9,337","9,316","9,188","9,257","9,350","9,355","9,292","9,522",48.40%
Navarro,"8,153","8,253","8,254","8,325","8,101","7,925","7,845","7,616","7,390","7,462","7,363","7,418","7,842",50.71%
Newton,"2,259","2,266","2,259","2,252","2,135","2,105","2,066","1,999","1,997","1,971","1,997","1,989","2,108",37.60%
Nolan,"2,395","2,355","2,381","2,341","2,276","2,188","2,176","2,127","2,102","2,104","2,162","2,132","2,228",44.95%
Nueces,"63,269","64,060","64,150","63,950","61,956","60,318","59,872","58,931","58,385","58,692","58,701","58,419","60,892",45.02%
Ochiltree,720,743,730,720,682,673,647,637,618,615,639,629,671,50.70%
Oldham,90,96,92,103,105,97,99,97,95,94,74,72,93,38.96%
Orange,"12,351","12,634","12,770","12,875","12,542","12,285","12,078","11,898","12,042","12,050","12,023","11,847","12,283",46.16%
Palo Pinto,"3,253","3,300","3,292","3,268","3,228","3,164","3,104","3,054","3,036","2,995","2,963","2,971","3,136",45.97%
Panola,"3,073","3,123","3,130","3,112","3,003","2,966","2,897","2,805","2,798","2,850","2,781","2,749","2,941",45.35%
Parker,"8,935","9,010","9,158","9,188","8,962","8,620","8,574","8,462","8,277","8,388","8,460","8,185","8,685",46.26%
Parmer,754,787,791,799,770,735,726,718,705,705,689,717,741,57.86%
Pecos,"1,979","1,993","1,981","1,958","1,897","1,777","1,720","1,673","1,639","1,643","1,620","1,617","1,791",48.89%
Polk,"8,421","8,532","8,647","8,633","8,383","8,161","8,146","8,049","7,907","7,855","7,837","7,875","8,204",42.23%
Potter,"18,781","18,777","18,683","18,784","18,247","17,605","17,688","17,711","17,573","17,686","17,690","17,495","18,060",49.41%
Presidio,"1,415","1,451","1,444","1,464","1,395","1,352","1,324","1,309","1,247","1,245","1,215","1,195","1,338",38.32%
Rains,"1,391","1,367","1,390","1,360","1,311","1,288","1,268","1,233","1,204","1,227","1,222","1,188","1,287",41.74%
Randall,"8,841","8,901","8,834","8,864","8,563","8,280","8,245","8,193","8,249","8,279","8,331","8,280","8,488",48.77%
Reagan,276,300,320,309,305,265,272,262,267,267,259,258,280,53.24%
Real,440,459,475,468,483,468,456,438,442,428,432,446,453,42.82%
Red River,"1,893","1,931","1,931","1,957","1,904","1,847","1,847","1,781","1,790","1,744","1,745","1,778","1,846",38.75%
Reeves,"1,936","1,938","1,958","1,924","1,910","1,834","1,813","1,805","1,739","1,742","1,672","1,547","1,818",47.27%
Refugio,"1,007","1,042","1,044","1,022",999,"1,011",997,961,908,947,953,954,987,44.49%
Roberts,41,45,40,31,30,36,40,39,42,46,40,41,39,39.70%
Robertson,"2,863","2,896","2,924","2,903","2,831","2,724","2,762","2,753","2,737","2,777","2,738","2,709","2,801",44.74%
Rockwall,"5,010","5,146","5,317","5,368","5,287","5,126","5,105","5,085","4,948","5,055","4,934","4,996","5,115",53.78%
Runnels,"1,217","1,242","1,272","1,286","1,247","1,216","1,194","1,156","1,160","1,205","1,196","1,190","1,215",42.75%
Rusk,"6,644","6,811","6,891","6,835","6,616","6,432","6,328","6,272","6,204","6,216","6,087","6,121","6,455",46.50%
Sabine,"1,850","1,851","1,849","1,832","1,813","1,754","1,709","1,656","1,626","1,649","1,635","1,638","1,739",38.42%
San Augustine,"1,697","1,699","1,712","1,680","1,634","1,559","1,513","1,537","1,523","1,518","1,499","1,481","1,588",39.90%
San Jacinto,"4,823","4,955","4,974","4,952","4,835","4,712","4,648","4,543","4,537","4,494","4,479","4,526","4,707",42.97%
San Patricio,"12,387","12,489","12,533","12,513","12,127","11,790","11,627","11,383","10,754","10,490","10,463","10,400","11,580",46.38%
San Saba,681,724,753,747,725,721,688,677,661,651,633,642,692,43.90%
Schleicher,254,259,264,267,255,259,250,234,239,215,214,197,242,44.89%
Scurry,"1,853","1,853","1,919","1,882","1,818","1,791","1,800","1,770","1,731","1,725","1,779","1,750","1,806",48.47%
Shackelford,346,333,334,309,286,283,274,286,270,275,275,262,294,38.75%
Shelby,"4,462","4,528","4,554","4,553","4,452","4,293","4,305","4,239","4,237","4,358","4,365","4,319","4,389",46.92%
Sherman,190,190,176,175,181,166,143,146,142,129,152,146,161,62.24%
Smith,"26,685","27,204","27,211","27,100","26,363","25,800","25,677","25,143","24,924","24,770","24,749","24,621","25,854",49.70%
Somervell,670,690,709,723,697,651,643,613,580,586,590,602,646,48.83%
Starr,"21,383","21,570","21,598","21,611","21,073","20,660","20,550","20,172","19,872","20,077","20,124","19,874","20,714",47.91%
Stephens,"1,200","1,229","1,291","1,284","1,286","1,218","1,234","1,187","1,154","1,200","1,196","1,240","1,227",43.73%
Sterling,83,71,80,78,79,81,82,79,85,82,71,67,78,49.79%
Stonewall,123,127,128,139,138,120,132,118,132,133,130,128,129,46.19%
Sutton,301,320,320,318,301,293,283,272,268,276,270,264,291,42.77%
Swisher,"1,206","1,196","1,236","1,231","1,211","1,172","1,145","1,129","1,125","1,126","1,081","1,072","1,161",47.28%
Tarrant,"220,841","224,219","225,108","224,231","216,284","209,661","208,857","205,337","203,371","205,026","206,035","203,517","212,707",51.58%
Taylor,"16,677","16,642","16,792","16,860","16,498","16,083","15,966","15,779","15,646","15,747","15,837","15,553","16,173",45.07%
Terrell,68,62,62,60,67,70,68,68,57,54,58,57,63,27.96%
Terry,"1,882","1,911","1,913","1,938","1,868","1,778","1,728","1,753","1,731","1,715","1,702","1,743","1,805",49.38%
Throckmorton,155,159,172,159,150,144,134,117,119,125,127,124,140,38.52%
Titus,"4,264","4,270","4,272","4,396","4,277","4,199","4,185","4,148","3,939","3,907","3,860","3,829","4,129",53.97%
Tom Green,"12,370","12,527","12,635","12,720","12,408","11,981","12,023","11,885","11,876","11,962","12,123","12,047","12,213",44.06%
Travis,"82,715","83,764","84,869","85,166","82,176","79,628","78,936","77,477","76,453","77,104","77,185","76,525","80,167",50.65%
Trinity,"2,851","2,889","2,861","2,855","2,748","2,691","2,719","2,688","2,635","2,652","2,694","2,671","2,746",38.66%
Tyler,"3,530","3,588","3,601","3,618","3,566","3,459","3,436","3,324","3,256","3,173","3,184","3,213","3,412",41.87%
Upshur,"5,711","5,784","5,773","5,779","5,555","5,469","5,448","5,358","5,251","5,317","5,343","5,258","5,504",45.43%
Upton,391,407,396,388,376,348,338,319,333,313,313,304,352,49.88%
Uvalde,"6,316","6,434","6,370","6,320","6,097","5,904","5,865","5,806","5,822","5,794","5,705","5,635","6,006",46.78%
Val Verde,"10,216","10,387","10,461","10,440","10,106","9,852","9,797","9,712","9,579","9,611","9,592","9,597","9,946",48.45%
Van Zandt,"5,994","6,003","6,007","6,128","5,957","5,822","5,787","5,700","5,671","5,758","5,809","5,810","5,871",44.68%
Victoria,"14,345","14,371","14,161","14,136","13,906","13,664","13,563","13,282","12,938","13,097","13,244","13,278","13,665",49.14%
Walker,"7,079","7,148","7,152","7,232","7,054","6,966","7,016","6,896","6,832","6,899","6,918","6,899","7,008",44.49%
Waller,"6,073","6,172","6,256","6,254","6,098","5,967","5,853","5,747","5,636","5,633","5,781","5,767","5,936",50.78%
Ward,"1,356","1,387","1,401","1,383","1,346","1,324","1,327","1,313","1,306","1,306","1,300","1,316","1,339",48.09%
Washington,"3,403","3,459","3,469","3,487","3,348","3,246","3,181","3,114","3,039","2,976","2,978","3,001","3,225",48.25%
Webb,"67,209","67,359","67,686","68,037","66,293","64,464","64,379","63,972","63,789","64,394","64,851","65,367","65,650",55.59%
Wharton,"6,483","6,599","6,644","6,590","6,348","6,238","6,200","6,085","6,038","6,056","6,012","5,978","6,273",50.68%
Wheeler,526,525,542,520,510,504,490,487,473,457,477,458,497,47.56%
Wichita,"17,827","18,028","18,201","18,201","17,573","17,136","16,990","16,658","16,279","16,265","16,357","16,122","17,136",44.76%
Wilbarger,"2,036","2,094","2,124","2,161","2,048","2,030","1,992","1,932","1,856","1,836","1,829","1,788","1,977",43.77%
Willacy,"4,957","5,101","5,090","5,142","5,104","5,068","5,030","4,952","4,855","4,814","4,783","4,713","4,967",46.16%
Williamson,"27,521","27,948","28,263","28,365","27,174","26,184","25,834","25,247","24,928","25,015","25,260","25,138","26,406",49.84%
Wilson,"4,207","4,161","4,147","4,158","4,003","3,914","3,947","3,880","3,868","3,902","3,879","3,783","3,987",46.20%
Winkler,"1,005","1,041","1,077","1,081","1,069","1,022",967,913,884,917,914,902,983,41.23%
Wise,"5,028","5,107","5,164","5,109","5,026","4,892","4,940","4,788","4,670","4,657","4,668","4,602","4,888",49.14%
Wood,"4,580","4,660","4,652","4,630","4,554","4,412","4,395","4,283","4,247","4,259","4,274","4,246","4,433",40.93%
Yoakum,746,768,782,785,767,749,735,701,710,724,710,668,737,49.34%
Young,"1,968","1,995","1,994","1,973","1,937","1,882","1,841","1,802","1,783","1,799","1,813","1,774","1,880",42.80%
